Time S;Temperature
0.00508;5.290292517
0.0051;5.290223577
0.00512;5.290155781
0.00514;5.290089114
0.00516;5.290034111
0.00518;5.289980724
0.0052;5.289950043
0.00522;5.289911953
0.00524;5.289887039
0.00526;5.289864748
0.00528;5.289834531
0.0053;5.289816971
0.00532;5.289802031
0.00534;5.28978971
0.00536;5.289769457
0.00538;5.289751306
0.0054;5.289725213
0.00542;5.289701719
0.00544;5.289671286
0.00546;5.289644964
0.00548;5.289612184
0.0055;5.289613083
0.00552;5.289585886
0.00554;5.289562225
0.00556;5.289552119
0.00558;5.289554528
0.0056;5.289538302
0.00562;5.289524521
0.00564;5.289533244
0.00566;5.289543358
0.00568;5.289554852
0.0057;5.289567718
0.00572;5.289581944
0.00574;5.289617597
0.00576;5.289653577
0.00578;5.289710985
0.0058;5.289769754
0.00582;5.289829893
0.00584;5.289891413
0.00586;5.289954324
0.00588;5.290018636
0.0059;5.29008436
0.00592;5.290151505
0.00594;5.290220083
0.00596;5.290290102
0.00598;5.290361574
0.006;5.290434508
0.00602;5.290508915
0.00604;5.290584804
0.00606;5.290662187
0.00608;5.290730522
0.0061;5.290789302
0.00612;5.290839039
0.00614;5.290860676
0.00616;5.290885843
0.00618;5.290903971
0.0062;5.290914521
0.00622;5.290938052
0.00624;5.290964501
0.00626;5.291004392
0.00628;5.291076759
0.0063;5.291098725
0.00632;5.291112465
0.00634;5.291117941
0.00636;5.291125664
0.00638;5.291135594
0.0064;5.291147689
0.00642;5.291171948
0.00644;5.291197785
0.00646;5.291255279
0.00648;5.291281617
0.0065;5.291307392
0.00652;5.291342607
0.00654;5.29137668
0.00656;5.291409582
0.00658;5.291441281
0.0066;5.291482298
0.00662;5.291522568
0.00664;5.291562067
0.00666;5.291600768
0.00668;5.291628095
0.0067;5.291644018
0.00672;5.291669602
0.00674;5.29170533
0.00676;5.291751687
0.00678;5.291798615
0.0068;5.291846094
0.00682;5.291894103
0.00684;5.291942621
0.00686;5.291991628
0.00688;5.292041104
0.0069;5.292091541
0.00692;5.292143429
0.00694;5.29219675
0.00696;5.292262033
0.00698;5.292318674
0.007;5.29237669
0.00702;5.292446613
0.00704;5.292518387
0.00706;5.292591999
0.00708;5.292667433
0.0071;5.292744673
0.00712;5.292823704
0.00714;5.29290451
0.00716;5.292987078
0.00718;5.29307139
0.0072;5.293146882
0.00722;5.293223571
0.00724;5.293301437
0.00726;5.29338046
0.00728;5.293450068
0.0073;5.293520275
0.00732;5.293581016
0.00734;5.293652851
0.00736;5.293725716
0.00738;5.293789545
0.0074;5.293843797
0.00742;5.293908512
0.00744;5.293973111
0.00746;5.294037562
0.00748;5.294112386
0.0075;5.294187518
0.00752;5.294252893
0.00754;5.294339623
0.00756;5.294405995
0.00758;5.294471544
0.0076;5.294525689
0.00762;5.294599534
0.00764;5.294672465
0.00766;5.294744455
0.00768;5.294846621
0.0077;5.294948322
0.00772;5.295059589
0.00774;5.295169864
0.00776;5.295279144
0.00778;5.29536632
0.0078;5.295451456
0.00782;5.295534535
0.00784;5.295636645
0.00786;5.295737702
0.00788;5.295805026
0.0079;5.295847609
0.00792;5.295928727
0.00794;5.296018766
0.00796;5.29609713
0.00798;5.296173848
0.008;5.29624891
0.00802;5.296322305
0.00804;5.296383474
0.00806;5.296442438
0.00808;5.296499184
0.0081;5.296553695
0.00812;5.296605956
0.00814;5.296655952
0.00816;5.296682567
0.00818;5.296695812
0.0082;5.296706209
0.00822;5.296734829
0.00824;5.296761574
0.00826;5.296776384
0.00828;5.296769196
0.0083;5.296771114
0.00832;5.296751479
0.00834;5.29673084
0.00836;5.296709157
0.00838;5.296686388
0.0084;5.296693122
0.00842;5.296667564
0.00844;5.296630774
0.00846;5.296593258
0.00848;5.296554971
0.0085;5.296515865
0.00852;5.296475896
0.00854;5.296445568
0.00856;5.296424841
0.00858;5.296413166
0.0086;5.296399963
0.00862;5.296385201
0.00864;5.296378887
0.00866;5.296380485
0.00868;5.296389974
0.0087;5.296407339
0.00872;5.296422018
0.00874;5.296444553
0.00876;5.296474938
0.00878;5.296492584
0.0088;5.296497484
0.00882;5.296499669
0.00884;5.296509679
0.00886;5.296538572
0.00888;5.296555211
0.0089;5.296559086
0.00892;5.296560742
0.00894;5.296560173
0.00896;5.296578477
0.00898;5.296574479
0.009;5.296568251
0.00902;5.296580891
0.00904;5.296592326
0.00906;5.296602561
0.00908;5.296611602
0.0091;5.296630003
0.00912;5.296637185
0.00914;5.296643194
0.00916;5.296648032
0.00918;5.296651707
0.0092;5.296654222
0.00922;5.296645544
0.00924;5.296646775
0.00926;5.296647369
0.00928;5.296636781
0.0093;5.29662556
0.00932;5.296613708
0.00934;5.296601224
0.00936;5.296588108
0.00938;5.29657436
0.0094;5.296570019
0.00942;5.296565051
0.00944;5.296559974
0.00946;5.296575894
0.00948;5.296592749
0.0095;5.296610555
0.00952;5.296597673
0.00954;5.296615874
0.00956;5.296635055
0.00958;5.296644682
0.0096;5.296633701
0.00962;5.296643291
0.00964;5.296653387
0.00966;5.296642895
0.00968;5.296631894
0.0097;5.296610344
0.00972;5.296578753
0.00974;5.296537622
0.00976;5.296476386
0.00978;5.296415097
0.0098;5.296343689
0.00982;5.296272684
0.00984;5.296202051
0.00986;5.29613176
0.00988;5.296061779
0.0099;5.295992079
0.00992;5.295922628
0.00994;5.295853396
0.00996;5.295784353
0.00998;5.295715468
0.01;5.29564671
0.01002;5.295578049
0.01004;5.295509454
0.01006;5.295440895
0.01008;5.295372341
0.0101;5.295303762
0.01012;5.295245165
0.01014;5.295207077
0.01016;5.295211095
0.01018;5.295216558
0.0102;5.295223471
0.01022;5.295231838
0.01024;5.295241666
0.01026;5.295252958
0.01028;5.29526572
0.0103;5.295227203
0.01032;5.295240335
0.01034;5.295254927
0.01036;5.295281535
0.01038;5.29531013
0.0104;5.295340722
0.01042;5.295363283
0.01044;5.295387857
0.01046;5.295413937
0.01048;5.295409875
0.0105;5.295406289
0.01052;5.295403681
0.01054;5.295391491
0.01056;5.295379742
0.01058;5.295358379
0.0106;5.295347972
0.01062;5.295337955
0.01064;5.295328313
0.01066;5.29531903
0.01068;5.295310091
0.0107;5.295311519
0.01072;5.295313266
0.01074;5.295315833
0.01076;5.295339288
0.01078;5.295362529
0.0108;5.295385556
0.01082;5.295408369
0.01084;5.295430968
0.01086;5.295453353
0.01088;5.295475523
0.0109;5.29549748
0.01092;5.295529774
0.01094;5.295562371
0.01096;5.295595276
0.01098;5.295628495
0.011;5.295662032
0.01102;5.295685854
0.01104;5.295710511
0.01106;5.295736005
0.01108;5.295762333
0.0111;5.295789498
0.01112;5.295807459
0.01114;5.295826764
0.01116;5.295847405
0.01118;5.295869379
0.0112;5.295892681
0.01122;5.295917305
0.01124;5.295953285
0.01126;5.29599007
0.01128;5.296017621
0.0113;5.296046485
0.01132;5.296076655
0.01134;5.296118678
0.01136;5.296141926
0.01138;5.296187567
0.0114;5.296245051
0.01142;5.296303831
0.01144;5.296353363
0.01146;5.296403684
0.01148;5.296434718
0.0115;5.296467556
0.01152;5.296502187
0.01154;5.296549152
0.01156;5.296607935
0.01158;5.296667472
0.0116;5.296697134
0.01162;5.296738598
0.01164;5.296771265
0.01166;5.296805156
0.01168;5.296840258
0.0117;5.296866004
0.01172;5.296892413
0.01174;5.296908912
0.01176;5.296925516
0.01178;5.296942199
0.0118;5.296948897
0.01182;5.296956129
0.01184;5.296963866
0.01186;5.296972077
0.01188;5.296980732
0.0119;5.296968697
0.01192;5.296977112
0.01194;5.296985868
0.01196;5.296994935
0.01198;5.297004282
0.012;5.297013879
0.01202;5.297023696
0.01204;5.2970337
0.01206;5.297043863
0.01208;5.297054153
0.0121;5.29706454
0.01212;5.297074993
0.01214;5.297085482
0.01216;5.297106014
0.01218;5.297126014
0.0122;5.297156008
0.01222;5.297185934
0.01224;5.297215775
0.01226;5.297245508
0.01228;5.297285665
0.0123;5.297326703
0.01232;5.29736912
0.01234;5.29742345
0.01236;5.297479646
0.01238;5.297547735
0.0124;5.297617162
0.01242;5.297656781
0.01244;5.297718301
0.01246;5.297802225
0.01248;5.297887964
0.0125;5.297975516
0.01252;5.298074921
0.01254;5.298185672
0.01256;5.298297228
0.01258;5.29838901
0.0126;5.298471056
0.01262;5.298543361
0.01264;5.298626505
0.01266;5.298699381
0.01268;5.298761467
0.0127;5.298822785
0.01272;5.298872771
0.01274;5.298921442
0.01276;5.298978817
0.01278;5.299023778
0.0128;5.299076896
0.01282;5.299128115
0.01284;5.299177421
0.01286;5.299224798
0.01288;5.299270231
0.0129;5.299303154
0.01292;5.299334098
0.01294;5.299353514
0.01296;5.29937193
0.01298;5.299389319
0.013;5.299405655
0.01302;5.299420914
0.01304;5.299435069
0.01306;5.299448096
0.01308;5.299459969
0.0131;5.299470662
0.01312;5.29948015
0.01314;5.299488407
0.01316;5.299495409
0.01318;5.299501128
0.0132;5.299505541
0.01322;5.299508621
0.01324;5.299510856
0.01326;5.29952277
0.01328;5.299513202
0.0133;5.299513263
0.01332;5.299512889
0.01334;5.299522092
0.01336;5.299530302
0.01338;5.299537497
0.0134;5.299543658
0.01342;5.299538214
0.01344;5.299541727
0.01346;5.299544141
0.01348;5.299545433
0.0135;5.299545584
0.01352;5.299544573
0.01354;5.29954238
0.01356;5.299538984
0.01358;5.299534365
0.0136;5.299508426
0.01362;5.299482236
0.01364;5.299455767
0.01366;5.299449064
0.01368;5.299441006
0.0137;5.299431572
0.01372;5.299431293
0.01374;5.299440665
0.01376;5.299460191
0.01378;5.299479826
0.0138;5.299499566
0.01382;5.299529956
0.01384;5.299560958
0.01386;5.299612648
0.01388;5.299663936
0.0139;5.299714832
0.01392;5.299765346
0.01394;5.299815487
0.01396;5.299865267
0.01398;5.299934773
0.014;5.299982845
0.01402;5.300030597
0.01404;5.300088077
0.01406;5.30013471
0.01408;5.300181058
0.0141;5.300227131
0.01412;5.3002629
0.01414;5.30028837
0.01416;5.30031358
0.01418;5.30032798
0.0142;5.300341602
0.01422;5.300354443
0.01424;5.300366496
0.01426;5.300377757
0.01428;5.30038822
0.0143;5.300387842
0.01432;5.300387163
0.01434;5.300386174
0.01436;5.300384863
0.01438;5.300383221
0.0144;5.300371199
0.01442;5.300359333
0.01444;5.300368196
0.01446;5.300356604
0.01448;5.300345133
0.0145;5.300323727
0.01452;5.300313468
0.01454;5.300304302
0.01456;5.300296214
0.01458;5.300289188
0.0146;5.30029376
0.01462;5.30028933
0.01464;5.300285923
0.01466;5.300283521
0.01468;5.300292149
0.0147;5.300291208
0.01472;5.30029072
0.01474;5.30029067
0.01476;5.300301594
0.01478;5.300291828
0.0148;5.300281431
0.01482;5.300280421
0.01484;5.300278231
0.01486;5.300274846
0.01488;5.300270251
0.0149;5.30026443
0.01492;5.300257368
0.01494;5.300249051
0.01496;5.300239462
0.01498;5.300228587
0.015;5.300226448
0.01502;5.300222485
0.01504;5.300227239
0.01506;5.300230665
0.01508;5.300232759
0.0151;5.300233515
0.01512;5.300232928
0.01514;5.300251584
0.01516;5.300268897
0.01518;5.300284872
0.0152;5.300299515
0.01522;5.300302791
0.01524;5.300315291
0.01526;5.300315918
0.01528;5.30031471
0.0153;5.300322219
0.01532;5.300328411
0.01534;5.30033329
0.01536;5.300336863
0.01538;5.300339645
0.0154;5.300331604
0.01542;5.300312228
0.01544;5.30029155
0.01546;5.300269564
0.01548;5.300246267
0.0155;5.300242754
0.01552;5.300238953
0.01554;5.300214792
0.01556;5.300181328
0.01558;5.300128001
0.0156;5.300074867
0.01562;5.300043008
0.01564;5.300012337
0.01566;5.299982843
0.01568;5.299954516
0.0157;5.299927345
0.01572;5.299901321
0.01574;5.299876433
0.01576;5.29986271
0.01578;5.299849596
0.0158;5.299827047
0.01582;5.299826193
0.01584;5.299826446
0.01586;5.299847881
0.01588;5.299869409
0.0159;5.29987096
0.01592;5.299873638
0.01594;5.299877442
0.01596;5.299902449
0.01598;5.299927569
0.016;5.299952811
0.01602;5.299958108
0.01604;5.299964561
0.01606;5.299972172
0.01608;5.299980939
0.0161;5.299990862
0.01612;5.300001943
0.01614;5.30001418
0.01616;5.30005769
0.01618;5.300090285
0.0162;5.300111975
0.01622;5.300133315
0.01624;5.300154312
0.01626;5.30017497
0.01628;5.300185256
0.0163;5.30019572
0.01632;5.300216913
0.01634;5.300238801
0.01636;5.300271429
0.01638;5.300304256
0.0164;5.300316702
0.01642;5.300329357
0.01644;5.300352772
0.01646;5.300386951
0.01648;5.300420843
0.0165;5.300443906
0.01652;5.300456658
0.01654;5.300469137
0.01656;5.30047028
0.01658;5.300470122
0.0166;5.300469168
0.01662;5.300467927
0.01664;5.300486983
0.01666;5.30048516
0.01668;5.300483045
0.0167;5.300490671
0.01672;5.300487447
0.01674;5.300483921
0.01676;5.300490124
0.01678;5.300474918
0.0168;5.300458881
0.01682;5.300442004
0.01684;5.300424275
0.01686;5.300415724
0.01688;5.300405795
0.0169;5.300384444
0.01692;5.300322055
0.01694;5.300321548
0.01696;5.30033068
0.01698;5.300339417
0.017;5.30029757
0.01702;5.300257873
0.01704;5.300240384
0.01706;5.300223991
0.01708;5.300218721
0.0171;5.300203981
0.01712;5.300180273
0.01714;5.30016817
0.01716;5.30016715
0.01718;5.300166658
0.0172;5.300166688
0.01722;5.300187313
0.01724;5.300207436
0.01726;5.300237613
0.01728;5.300257264
0.0173;5.300286985
0.01732;5.300316747
0.01734;5.30034656
0.01736;5.300365883
0.01738;5.30038476
0.0174;5.300403196
0.01742;5.300421197
0.01744;5.300438767
0.01746;5.300465951
0.01748;5.300492207
0.0175;5.300507507
0.01752;5.300522407
0.01754;5.30054695
0.01756;5.300570597
0.01758;5.300593358
0.0176;5.300605203
0.01762;5.300637791
0.01764;5.30066102
0.01766;5.300685452
0.01768;5.300669917
0.0177;5.300655585
0.01772;5.300642445
0.01774;5.300630487
0.01776;5.300619701
0.01778;5.300610077
0.0178;5.300621682
0.01782;5.300613337
0.01784;5.300616172
0.01786;5.300619632
0.01788;5.300602608
0.0179;5.300585165
0.01792;5.300567285
0.01794;5.300548955
0.01796;5.300530158
0.01798;5.30051088
0.018;5.300470004
0.01802;5.300448682
0.01804;5.300436862
0.01806;5.300413431
0.01808;5.300398963
0.0181;5.300383411
0.01812;5.300366762
0.01814;5.300389676
0.01816;5.300380353
0.01818;5.300370441
0.0182;5.300359936
0.01822;5.300348833
0.01824;5.300337125
0.01826;5.300324808
